,postcode,year,total_income,viable_buildings,total_buildings,num_installs,average_income,install_percent
294,3379,2001,16143578.0,586.0,599.0,0.0,26950.881469115193,0.0
295,3380,2001,109009012.0,2241.0,2600.0,0.0,41926.54307692307,0.0
296,3381,2001,10081199.0,1920.0,1922.0,0.0,5245.160770031218,0.0
297,3384,2001,3427342.0,79.0,90.0,0.0,38081.57777777778,0.0
298,3385,2001,2157171.0,,,0.0,,
299,3387,2001,3195432.0,37.0,35.0,0.0,91298.05714285714,0.0
300,3388,2001,13423883.0,296.0,303.0,0.0,44303.244224422444,0.0
301,3390,2001,18143917.0,476.0,518.0,0.0,35026.8667953668,0.0
302,3391,2001,4332976.0,8.0,8.0,0.0,541622.0,0.0
303,3392,2001,11544611.0,130.0,133.0,0.0,86801.58646616542,0.0
304,3393,2001,49847674.0,1361.0,1394.0,0.0,35758.7331420373,0.0
305,3395,2001,10919861.0,130.0,130.0,0.0,83998.93076923076,0.0
306,3396,2001,16231049.0,274.0,283.0,0.0,57353.53003533569,0.0
307,3400,2001,187029379.0,4853.0,5606.0,0.0,33362.35800927578,0.0
308,3401,2001,72747443.0,1857.0,1863.0,0.0,39048.54696725711,0.0
309,3402,2001,23802987.0,,,0.0,,
310,3407,2001,9001083.0,356.0,368.0,0.0,24459.464673913044,0.0
311,3409,2001,10134922.0,482.0,515.0,0.0,19679.460194174757,0.0
312,3412,2001,9666296.0,133.0,143.0,0.0,67596.47552447552,0.0
313,3414,2001,26892755.0,883.0,860.0,0.0,31270.64534883721,0.0
314,3418,2001,57756243.0,1364.0,1486.0,0.0,38866.9199192463,0.0
315,3419,2001,26306723.0,437.0,464.0,0.0,56695.52370689655,0.0
316,3423,2001,6878468.0,274.0,312.0,0.0,22046.371794871793,0.0
317,3424,2001,16873049.0,545.0,566.0,0.0,29811.040636042402,0.0
318,3427,2001,36739618.0,829.0,837.0,0.0,43894.406212664275,0.0
319,3428,2001,14623086.0,15.0,10.0,0.0,1462308.6,0.0
320,3429,2001,507383766.0,10343.0,10251.0,0.0,49496.02633889377,0.0
321,3430,2001,4275407.0,,,0.0,,
322,3431,2001,58137686.0,714.0,670.0,0.0,86772.6656716418,0.0
323,3433,2001,3553322.0,,,0.0,,
324,3434,2001,67795623.0,1944.0,2012.0,0.0,33695.63767395626,0.0
325,3435,2001,34339514.0,701.0,736.0,0.0,46656.948369565216,0.0
326,3437,2001,149033461.0,2236.0,2354.0,0.0,63310.7310960068,0.0
327,3438,2001,28963741.0,378.0,375.0,0.0,77236.64266666667,0.0
328,3440,2001,36620903.0,642.0,670.0,0.0,54658.064179104476,0.0
329,3441,2001,38203807.0,809.0,818.0,0.0,46703.92053789731,0.0
330,3442,2001,109082747.0,2423.0,2482.0,0.0,43949.535455278005,0.0
331,3444,2001,113932687.0,3321.0,3649.0,0.0,31222.98903809263,0.0
332,3446,2001,9002490.0,228.0,227.0,0.0,39658.54625550661,0.0
333,3447,2001,5360693.0,0.0,0.0,0.0,inf,
334,3448,2001,11160329.0,341.0,339.0,0.0,32921.32448377581,0.0
335,3450,2001,92306587.0,3108.0,3279.0,0.0,28150.834705702957,0.0
336,3451,2001,36142926.0,1858.0,1883.0,2.0,19194.331386086033,0.001076426264800861
337,3453,2001,20497971.0,308.0,319.0,0.0,64256.96238244514,0.0
338,3458,2001,20664295.0,513.0,520.0,0.0,39739.028846153844,0.0
339,3460,2001,35917478.0,973.0,1050.0,0.0,34207.1219047619,0.0
340,3461,2001,37482546.0,2400.0,2485.0,0.0,15083.519517102615,0.0
341,3462,2001,11331993.0,583.0,618.0,0.0,18336.558252427185,0.0
342,3463,2001,26480731.0,1100.0,1064.0,0.0,24887.90507518797,0.0
343,3464,2001,11916280.0,90.0,127.0,0.0,93828.97637795276,0.0
344,3465,2001,103941192.0,4501.0,4834.0,0.0,21502.108398841538,0.0
345,3467,2001,12740868.0,541.0,595.0,1.0,21413.223529411764,0.0018484288354898336
346,3468,2001,3165625.0,336.0,355.0,0.0,8917.25352112676,0.0
347,3469,2001,2581107.0,39.0,48.0,0.0,53773.0625,0.0
348,3472,2001,12380228.0,204.0,223.0,0.0,55516.71748878924,0.0
349,3475,2001,3889254.0,360.0,383.0,0.0,10154.710182767623,0.0
350,3478,2001,47938853.0,1932.0,2198.0,0.0,21810.215195632394,0.0
351,3480,2001,28130218.0,725.0,882.0,0.0,31893.67120181406,0.0
352,3482,2001,3354232.0,0.0,0.0,0.0,inf,
353,3483,2001,18418344.0,611.0,630.0,0.0,29235.466666666667,0.0
354,3485,2001,6737556.0,170.0,199.0,0.0,33857.065326633165,0.0
355,3490,2001,25799181.0,783.0,838.0,0.0,30786.612171837707,0.0
356,3491,2001,4820092.0,217.0,225.0,0.0,21422.63111111111,0.0
